"rep","beta1_hat","beta1_sd","mean_unw","mean_inf","fixed_mean","sd_delta_hat"
64,0.714538474077297,0.0505552052740112,0.7,0.606445955428326,0.731542545487379,0.475139141278124
65,0.824290520705288,0.0620021112228952,0.7,0.480547046233508,0.833469540726235,0.748383892547804
66,0.672626028156041,0.0515899037022973,0.7,0.589753271839689,0.691163656121647,0.514884883948841
67,0.643634711340831,0.0545473965392522,0.7,0.507539491668702,0.655411558202133,0.646701231356279
68,0.76786027032479,0.0542916545616436,0.7,0.649943719588267,0.774078999489404,0.256318284574178
69,0.647041732588511,0.0538198344604906,0.7,0.623746931558862,0.657572755688987,0.443662770488918
70,0.608576176286007,0.057895535982804,0.7,0.557956910142386,0.596374344871415,0.539717077601033
71,0.716371715790731,0.0524921463464423,0.7,0.645803559662998,0.734696832148244,0.365770064670702
72,0.683410607508342,0.0528051986191203,0.7,0.577024083289039,0.708329205726099,0.499204668583805
73,0.597145080724037,0.0510486329395604,0.7,0.623719006501677,0.61254141452696,0.314569273856862
74,0.628991944038459,0.0530172862015333,0.7,0.570941814297596,0.632683691526678,0.502671127864837
75,0.613609780081327,0.048887356496576,0.7,0.646166747610801,0.630290388978621,0.22764538951187
76,0.752749966740529,0.056243467930671,0.7,0.595606961203957,0.761482103594929,0.509189119096945
77,0.649597053174798,0.0544856328549959,0.7,0.574264584820922,0.665952230979567,0.42769800498629
78,0.725502511958763,0.0557832016622097,0.7,0.659879871280298,0.735825610981945,0.409522899448552
79,0.701389841025262,0.0493676965905311,0.7,0.627742817868442,0.719984294049196,0.321729031739587
80,0.806703205002756,0.0562706796995379,0.7,0.633634610676602,0.816617124343224,0.476678144647631
81,0.696013448586178,0.054548326548462,0.7,0.52424235078104,0.699803786038303,0.569932209129081
82,0.773438593539828,0.0551577604179636,0.7,0.62659366509939,0.79090901218535,0.523642699470928
83,0.800022116011759,0.057276100447163,0.7,0.569463343512479,0.82510009573239,0.524899467701554
84,0.603812257928639,0.0513896447276321,0.7,0.608305348690602,0.611935367708144,0.483990836364902
85,0.816053577360444,0.0577069867291088,0.7,0.617613407216246,0.826587121297142,0.48754421492736
86,0.720068069428913,0.0538499609252004,0.7,0.560476222599578,0.725694800194988,0.564353176435391
87,0.707540327245887,0.0507146832352539,0.7,0.620887166760965,0.727630620462404,0.369627290079528
88,0.739110501386869,0.0546172966409009,0.7,0.567037919064569,0.775840656069717,0.508965303559824
89,0.718845408826667,0.0532671878253815,0.7,0.650890112913547,0.738468515523671,0.371996070383331
90,0.670802751334044,0.0506116769674189,0.7,0.592138083028114,0.692272769452538,0.452541021617609
91,0.737873942418801,0.0518356384365055,0.7,0.683748216185477,0.749782757926814,0.282986155578411
92,0.641429058746445,0.0541413069214362,0.7,0.551396468889368,0.660745161574782,0.514564583805378
93,0.702584829320431,0.0535407927606464,0.7,0.660044955304665,0.71087609746566,0.342493200954232
94,0.771214832665643,0.0578907079773612,0.7,0.597390312033548,0.766281503421691,0.494793463142494
95,0.705646306627841,0.054061269449156,0.7,0.577491638648254,0.729057903274882,0.428457432609278
96,0.683055387413127,0.0522425843633277,0.7,0.628526936926447,0.710420417514049,0.265620666054504
