"rep","species","truth","dist","beta1_hat","beta1_lo","beta1_hi","beta1_true","cov_marg","cov_joint","width_marg","width_joint","terc"
102,12,-0.699361012357947,0.199361012357947,0.614196687068939,0.483283006994442,0.745389273052784,0.7,1,1,0.787584060157769,0.783750522131819,"near mean"
103,1,0.425377994240764,0.925377994240764,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.800974882324365,0.828192584877027,"far from mean"
103,2,-1.94660298143338,1.44660298143338,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,1.0387668534358,1.04605649007225,"far from mean"
103,3,-0.117804215878556,0.382195784121444,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.809825237986543,0.798203046989634,"middle"
103,4,1.58084317117767,2.08084317117767,0.708607682396464,0.575621336100871,0.84182620801995,0.7,0,0,0.870343820614974,0.899750720553545,"far from mean"
103,5,-0.375275306373247,0.124724693626753,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.79593921902347,0.810307763793767,"near mean"
103,6,-1.36976975434018,0.869769754340177,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.825828553485419,0.807945458279932,"far from mean"
103,7,-1.67114647543011,1.17114647543011,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.909606150454662,0.891432423546144,"far from mean"
103,8,0.233868398128511,0.733868398128511,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.800663754225813,0.758498422728891,"middle"
103,9,-0.772199779479189,0.272199779479189,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.826869893963955,0.834402173639981,"near mean"
103,10,-0.936524029139408,0.436524029139408,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.811367531271387,0.784416447452594,"middle"
103,11,-1.18034468697518,0.680344686975175,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.859517046978378,0.839695604824562,"middle"
103,12,0.129577665502298,0.629577665502298,0.708607682396464,0.575621336100871,0.84182620801995,0.7,1,1,0.808941725593918,0.783081976119768,"middle"
104,1,-0.793331279512578,0.293331279512578,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.862987073975291,0.915214886098586,"near mean"
104,2,-1.37037698864437,0.870376988644371,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.894208587245199,0.948182652355855,"far from mean"
104,3,-0.945118936547859,0.445118936547859,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.865843903029446,0.856279519706592,"middle"
104,4,-1.28217755507988,0.782177555079875,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.854810465397045,0.896415718772618,"far from mean"
104,5,-1.69843620455329,1.19843620455329,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.913622142337336,0.908958615010908,"far from mean"
104,6,0.96155061462164,1.46155061462164,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.812030428614366,0.770222002280309,"far from mean"
104,7,-0.288406615699042,0.211593384300958,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.779245832900163,0.806587728174286,"near mean"
104,8,-0.142436424387751,0.357563575612249,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.786257063730285,0.802089403596167,"middle"
104,9,-0.462850253701347,0.0371497462986528,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.833517300880431,0.876155321481114,"near mean"
104,10,0.390082464752642,0.890082464752642,0.721099048475423,0.582715983157882,0.85991520646744,0.7,0,0,0.778548527056098,0.751609037438356,"far from mean"
104,11,-0.541831825943884,0.041831825943884,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.770817064678033,0.741774089561282,"near mean"
104,12,0.173333004695713,0.673333004695713,0.721099048475423,0.582715983157882,0.85991520646744,0.7,1,1,0.827208575462272,0.782320531569242,"middle"
105,1,0.506061858880924,1.00606185888092,0.701059499184966,0.572545257765117,0.829815669165806,0.7,0,0,0.74204025129976,0.766029483875556,"far from mean"
105,2,0.0521841100586236,0.552184110058624,0.701059499184966,0.572545257765117,0.829815669165806,0.7,0,0,0.740522776101003,0.718039789602721,"middle"
105,3,-0.713171140142569,0.213171140142569,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.778002455437849,0.751487565452231,"near mean"
105,4,-0.861717968025578,0.361717968025578,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.740191455899523,0.755015532184652,"middle"
105,5,-0.814846754094039,0.314846754094039,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.731421632473475,0.728104324113278,"near mean"
105,6,-0.943859421031238,0.443859421031238,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.743124616336955,0.732770278526273,"middle"
105,7,-0.405493989624558,0.0945060103754418,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.746603634507965,0.701554467002477,"near mean"
105,8,-0.5936473539414,0.0936473539413999,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.748626982618122,0.723577444767764,"near mean"
105,9,-1.25681914779819,0.756819147798188,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.818822717583521,0.849134085094516,"far from mean"
105,10,-0.297324608328225,0.202675391671775,0.701059499184966,0.572545257765117,0.829815669165806,0.7,0,0,0.734935485607032,0.726521825915754,"near mean"
105,11,-0.834170272800171,0.334170272800171,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.795916007477617,0.747263522831114,"middle"
105,12,0.162804686846418,0.662804686846418,0.701059499184966,0.572545257765117,0.829815669165806,0.7,1,1,0.740814291150601,0.731047555434709,"middle"
106,1,-1.07692697590231,0.576926975902315,0.784792658091749,0.645844958610073,0.924131380412401,0.7,1,1,0.853104455825949,0.823434035284607,"middle"
